# https://kafka.apache.org/documentation/#kafka_streams_node_monitoring

process-rate 	The average number of records processed by a source processor node per second. 	kafka.streams:type=stream-processor-node-metrics,thread-id=([-.\w]+),task-id=([-.\w]+),processor-node-id=([-.\w]+)
process-total 	The total number of records processed by a source processor node per second. 	kafka.streams:type=stream-processor-node-metrics,thread-id=([-.\w]+),task-id=([-.\w]+),processor-node-id=([-.\w]+)
suppression-emit-rate 	The rate at which records that have been emitted downstream from suppression operation nodes. 	kafka.streams:type=stream-processor-node-metrics,thread-id=([-.\w]+),task-id=([-.\w]+),processor-node-id=([-.\w]+)
suppression-emit-total 	The total number of records that have been emitted downstream from suppression operation nodes. 	kafka.streams:type=stream-processor-node-metrics,thread-id=([-.\w]+),task-id=([-.\w]+),processor-node-id=([-.\w]+)
record-e2e-latency-avg 	The average end-to-end latency of a record, measured by comparing the record timestamp with the system time when it has been fully processed by the node. 	kafka.streams:type=stream-processor-node-metrics,thread-id=([-.\w]+),task-id=([-.\w]+),processor-node-id=([-.\w]+)
record-e2e-latency-max 	The maximum end-to-end latency of a record, measured by comparing the record timestamp with the system time when it has been fully processed by the node. 	kafka.streams:type=stream-processor-node-metrics,thread-id=([-.\w]+),task-id=([-.\w]+),processor-node-id=([-.\w]+)
record-e2e-latency-min 	The minimum end-to-end latency of a record, measured by comparing the record timestamp with the system time when it has been fully processed by the node. 	kafka.streams:type=stream-processor-node-metrics,thread-id=([-.\w]+),task-id=([-.\w]+),processor-node-id=([-.\w]+)
